feature,importance
prev_delay,0.4668779005133251
prev_delay_2,0.32226879414342396
stop_hist_delay,0.05398885623205296
route_hist_delay,0.029938584490359677
delay_trend,0.025065249905643638
agency_idx,0.014067892363618203
stop_lon,0.01383711311685897
scheduled_gap,0.013634798036423132
stop_sequence,0.012197143053917055
mins_since_midnight,0.012005537664116642
stop_lat,0.011664747422288001
hour_cos,0.0076732814340013875
hour_sin,0.006359257942304876
direction_idx,0.0031791647379363274
stops_since_prev,0.0025933268039550787
dow_n,0.0019400983530616412
is_weekend,0.0018547128472388465
is_pm_peak,0.0008535409394745539
is_am_peak,0.0
